88,"Quero informações sobre medicamentos para controle de colesterol.",requestMessageToIa
89,"Como posso alterar o endereço de entrega de uma assinatura?",viewOrders
90,"Quero saber sobre a disponibilidade de vacinas.",startBuyFlow
91,"Como posso cancelar o envio automático de recargas?",requestMessageToIa
92,"Quero informações sobre medicamentos para tratamento de asma.",viewOrders
93,"Como faço para atualizar meus dados de contato?",startBuyFlow
94,"Quero saber sobre medicamentos para controle do colesterol.",requestMessageToIa
95,"Como posso ver meu histórico de consultas?",viewOrders
96,"Quero saber sobre a disponibilidade de teste de glicemia.",startBuyFlow
97,"Como posso cancelar uma inscrição de newsletter?",requestMessageToIa
98,"Quero saber sobre medicamentos para tratamento de hipertensão.",viewOrders
99,"Como posso alterar o método de pagamento de uma assinatura?",startBuyFlow
100,"Quero informações sobre a utilização de medicamentos para controle de peso.",requestMessageToIa
101,"Como faço para excluir um cartão de crédito da minha conta?",viewOrders
102,"Quero saber sobre a disponibilidade de remédios controlados.",startBuyFlow
103,"Como posso cancelar uma receita digital?",requestMessageToIa
104,"Quero saber sobre medicamentos para tratamento de osteoporose.",viewOrders
105,"Como posso verificar a quantidade de medicamentos em estoque?",startBuyFlow
106,"Quero informações sobre medicamentos para tratamento de dor muscular.",requestMessageToIa
107,"Como faço para alterar o endereço de entrega de uma compra?",viewOrders
108,"Quero saber sobre a disponibilidade de insulina.",startBuyFlow
109,"Como posso saber sobre medicamentos para tratamento de colesterol?",requestMessageToIa
110,"Quero saber sobre medicamentos para tratamento de enxaqueca.",viewOrders
111,"Como posso cancelar minha conta no aplicativo?",startBuyFlow
112,"Quero informações sobre medicamentos para tratamento de refluxo.",requestMessageToIa
113,"Como posso verificar o status de uma receita digital?",viewOrders
114,"Quero saber sobre medicamentos para tratamento de osteoartrite.",startBuyFlow
115,"Como posso alterar a data de entrega de um pedido?",requestMessageToIa
116,"Quero saber sobre medicamentos para tratamento de depressão.",viewOrders
117,"Como faço para excluir meu histórico de pedidos?",startBuyFlow
118,"Quero saber sobre medicamentos para tratamento de infecção urinária.",requestMessageToIa
119,"Como posso cancelar uma assinatura de medicamento?",viewOrders
120,"Quero saber sobre medicamentos para tratamento de candidíase.",startBuyFlow
121,"Como posso alterar o endereço de entrega de um pedido?",requestMessageToIa
122,"Quero saber sobre medicamentos para tratamento de sinusite.",viewOrders
123,"Como faço para excluir minha conta?",startBuyFlow
124,"Quero informações sobre medicamentos para tratamento de hipertireoidismo.",requestMessageToIa
125,"Como posso saber sobre medicamentos para tratamento de dermatite.",viewOrders
126,"Quero saber sobre medicamentos para tratamento de problemas renais.",startBuyFlow
127,"Como faço para alterar a frequência de entrega de uma assinatura?",requestMessageToIa
128,"Quero saber sobre medicamentos para tratamento de diabetes tipo 2.",viewOrders
129,"Como posso cancelar um pedido com erro?",startBuy
